iteration,round, agentid, utility
0,1, 0, 0.693889
1,1, 1, 1.411322
2,1, 2, 0.029123
3,1, 3, -0.010502
4,1, 4, 0.967308
5,1, 5, 1.202984
6,1, 6, 2.217330
7,1, 7, 1.501809
8,1, 8, 0.150011
9,1, 9, 0.381114
10,1, 10, 0.357060
11,1, 11, 0.054842
12,1, 12, 0.424799
13,1, 13, 0.986853
14,1, 14, 0.948469
15,1, 15, -0.062051
16,1, 16, 0.070134
17,1, 17, 0.297340
18,1, 18, 1.026551
19,1, 19, 0.222035
20,2, 0, 1.278424
21,2, 1, 2.388918
22,2, 2, 0.089412
23,2, 3, 0.031347
24,2, 4, 2.017902
25,2, 5, 4.745560
26,2, 6, 3.832983
27,2, 7, 2.010193
28,2, 8, 0.619292
29,2, 9, 0.377906
30,2, 10, 0.482300
31,2, 11, 0.319558
32,2, 12, 0.988783
33,2, 13, 1.254754
34,2, 14, 1.404261
35,2, 15, -0.078073
36,2, 16, 0.216222
37,2, 17, 0.424122
38,2, 18, 1.395916
39,2, 19, 0.316704
40,3, 0, 1.503968
41,3, 1, 2.619236
42,3, 2, 0.146535
43,3, 3, 0.105779
44,3, 4, 2.829972
45,3, 5, 4.855167
46,3, 6, 5.278781
47,3, 7, 2.686893
48,3, 8, 1.298068
49,3, 9, 0.375855
50,3, 10, 0.606280
51,3, 11, 1.118983
52,3, 12, 1.607983
53,3, 13, 1.528549
54,3, 14, 1.831790
55,3, 15, -0.089911
56,3, 16, 0.308169
57,3, 17, 0.537905
58,3, 18, 1.575181
59,3, 19, 0.397546
60,4, 0, 2.339922
61,4, 1, 2.618104
62,4, 2, 0.198639
63,4, 3, 0.186527
64,4, 4, 3.953866
65,4, 5, 4.944375
66,4, 6, 6.075279
67,4, 7, 3.092314
68,4, 8, 1.871333
69,4, 9, 0.374114
70,4, 10, 0.728797
71,4, 11, 1.267143
72,4, 12, 2.414566
73,4, 13, 2.428173
74,4, 14, 1.829087
75,4, 15, -0.090981
76,4, 16, 0.305024
77,4, 17, 0.643508
78,4, 18, 1.724567
79,4, 19, 0.460678
